Date,iShares USD Treasury Bond 1-3yr UCITS ETF (Acc)
2004-11,10000
2004-12,10000
2005-01,10444.488530003462
2005-02,10244.553791709252
2005-03,10474.977528233738
2005-04,10539.866924348047
2005-05,11116.730272692012
2005-06,11357.944155267027
2005-07,11322.032210860121
2005-08,11294.70960710656
2005-09,11410.100535032052
2005-10,11425.533221761776
2005-11,11708.824882444482
2005-12,11725.525999700349
2006-01,11432.311032398833
2006-02,11674.153715252332
2006-03,11466.87172203039
2006-04,11104.742647113038
2006-05,10833.838194955657
2006-06,10984.842399908423
2006-07,11019.039949609212
2006-08,11024.260370349062
2006-09,11248.635768188407
2006-10,11258.908228754472
2006-11,10883.695146501774
2006-12,10908.640443852433
2007-01,11113.026850929713
2007-02,10984.168337689378
2007-03,10937.134127779596
2007-04,10743.966224585734
2007-05,10854.808157946838
2007-06,10857.568332264906
2007-07,10795.577699542191
2007-08,10908.488628561194
2007-09,10618.251237792805
2007-10,10459.37253163076
2007-11,10414.542297116841
2007-12,10468.340288565614
2008-01,10544.652983134869
2008-02,10442.711436917109
2008-03,10038.147740958677
2008-04,10129.619046003436
2008-05,10109.753090494356
2008-06,9975.3213950472
2008-07,10112.908027888647
2008-08,10769.513592939527
2008-09,11183.292692909408
2008-10,12659.669375744625
2008-11,12837.316846684073
2008-12,11810.656373028658
2009-01,12778.898516821966
2009-02,12938.71989068212
2009-03,12358.282132778759
2009-04,12371.623937781616
2009-05,11668.44198778704
2009-06,11619.402452737571
2009-07,11631.10087543119
2009-08,11568.47850562828
2009-09,11301.754327766697
2009-10,11205.537677194456
2009-11,11105.34185827548
2009-12,11488.317552627996
2010-01,11940.972995542936
2010-02,12312.527949939064
2010-03,12363.393183718057
2010-04,12549.502463260493
2010-05,13638.655298866555
2010-06,13741.003166252138
2010-07,12977.253773084987
2010-08,13358.202515751325
2010-09,12431.256122351315
2010-10,12271.25954912839
2010-11,13056.86733179279
2010-12,12676.022305706101
2011-01,12389.309176478288
2011-02,12250.383515796282
2011-03,11921.581791465747
2011-04,11448.261986877933
2011-05,11867.783747129912
2011-06,11814.91930534026
2011-07,12007.932692977789
2011-08,11891.416948034823
2011-09,12706.739126884539
2011-10,12264.490414083779
2011-11,12803.947313631545
2011-12,13283.623382183738
2012-01,13060.14513614228
2012-02,12781.339828682381
2012-03,12856.173162570547
2012-04,13021.699117058206
2012-05,13878.28737261293
2012-06,13663.408068765271
2012-07,14036.798591364353
2012-08,13673.273702338045
2012-09,13336.087211280501
2012-10,13262.958914936376
2012-11,13281.73378147993
2012-12,13075.466553125314
2013-01,12732.813247312515
2013-02,13151.627520584147
2013-03,13486.982432308107
2013-04,13224.333373873997
2013-05,13270.469941298083
2013-06,13186.905794612767
2013-07,13012.799381635674
2013-08,13038.891625378401
2013-09,12806.519563469077
2013-10,12691.223457435459
2013-11,12730.225982243397
2013-12,12546.050849964493
2014-01,12821.411652652396
2014-02,12556.048061065741
2014-03,12563.913794859905
2014-04,12523.6579891178
2014-05,12770.415383672535
2014-06,12716.167181076238
2014-07,12969.929296679718
2014-08,13179.717971738977
2014-09,13804.64364255111
2014-10,13908.75889631584
2014-11,13976.43471681515
2014-12,14333.87283209035
2015-01,15471.586623760386
2015-02,15526.055300594584
2015-03,16257.931668945994
2015-04,15601.35051593093
2015-05,15959.892520582282
2015-06,15651.505549741192
2015-07,15977.528834126888
2015-08,15614.00414087539
2015-09,15677.486738725334
2015-10,15926.43153141436
2015-11,16542.42575268077
2015-12,16057.904222265413
2016-01,16107.314793534426
2016-02,16171.761224048278
2016-03,15492.06371752965
2016-04,15472.238902002136
2016-05,15800.345348923553
2016-06,15967.332907117796
2016-07,15942.717865396093
2016-08,15887.168147047936
2016-09,15864.37513052451
2016-10,16162.125840399942
2016-11,16564.335669239645
2016-12,16719.154597762576
2017-01,16403.877793029733
2017-02,16665.60113046545
2017-03,16525.221430997746
2017-04,16185.970228713364
2017-05,15784.894876461502
2017-06,15506.104211641146
2017-07,15121.793761147572
2017-08,15025.095265637296
2017-09,15022.441948126316
2017-10,15227.619318602874
2017-11,14923.767976353432
2017-12,14745.629260643156
2018-01,14150.49378047238
2018-02,14424.649390859997
2018-03,14327.369728754791
2018-04,14588.132428606466
2018-05,15117.353835930213
2018-06,15171.464588505003
2018-07,15067.516221194044
2018-08,15226.198804772233
2018-09,15304.333709161918
2018-10,15675.652423475449
2018-11,15673.9758857446
2018-12,15674.593888198735
2019-01,15664.078236923946
2019-02,15776.886168525047
2019-03,16130.29581137186
2019-04,16186.42021467493
2019-05,16402.245364417675
2019-06,16155.531752409684
2019-07,16466.095161032255
2019-08,16774.20692250329
2019-09,16979.78872577862
2019-10,16629.991672756933
2019-11,16883.479126837028
2019-12,16538.808346732887
2020-01,16903.469626653085
2020-02,17169.63793614983
2020-03,17439.86764452851
2020-04,17575.305300361917
2020-05,17176.25473449534
2020-06,17084.541955376742
2020-07,16163.043448459715
2020-08,16033.445495895252
2020-09,16354.567008940057
2020-10,16360.488710301614
2020-11,15981.66370853053
2020-12,15609.487118159494
2021-01,15783.03193382974
2021-02,15788.563684229732
2021-03,16324.179837988422
2021-04,15848.519699279948
2021-05,15704.29676072236
2021-06,16096.053826865456
2021-07,16114.197076168884
2021-08,16189.69607315927
2021-09,16527.99794698748
2021-10,16378.336275639282
2021-11,16780.01788009605
2021-12,16796.965826929176
2022-01,16933.196255634553
2022-02,16797.400722282913
2022-03,16706.21838101448
2022-04,17511.383107206526
2022-05,17330.413603951696
2022-06,17759.224278884707
2022-07,18162.915932092903
2022-08,18374.61593652352
2022-09,18628.642220740796
2022-10,18296.508117517176
2022-11,17595.464712475452
2022-12,17147.674659870747
2023-01,17003.40869701336
2023-02,17211.081823711505
2023-03,17080.350752227398
2023-04,16958.193313256532
2023-05,17368.547842546468
2023-06,16986.83432282154
2023-07,16802.587888361908
2023-08,17107.487775267204
2023-09,17542.879864350085
2023-10,17559.66393226342
2023-11,17234.46454213642
