Date,iShares Euro Government Bond 7-10yr UCITS ETF (Acc)
2006-11,10000
2006-12,10000
2007-01,9928.481398442285
2007-02,10049.415223330838
2007-03,10004.450843595261
2007-04,9977.285413419473
2007-05,9833.99379975417
2007-06,9756.00397918354
2007-07,9931.710081834555
2007-08,10054.86928371682
2007-09,10035.278965732594
2007-10,10124.98710585047
2007-11,10243.060699893978
2007-12,10140.663596266137
2008-01,10487.550225989242
2008-02,10564.72951097436
2008-03,10517.550662543781
2008-04,10404.544404910168
2008-05,10237.048335187581
2008-06,10094.439951632638
2008-07,10312.669236656873
2008-08,10484.777528856017
2008-09,10588.676681919722
2008-10,10658.863530123348
2008-11,11208.9163507659
2008-12,11445.876912641592
2009-01,11252.058581570327
2009-02,11431.421361140532
2009-03,11568.384940208667
2009-04,11522.940111688826
2009-05,11290.428583118008
2009-06,11492.829532381675
2009-07,11658.576968553922
2009-08,11722.522651807407
2009-09,11785.951316476458
2009-10,11820.995435250594
2009-11,11953.425823415882
2009-12,11812.366237612148
2010-01,11971.308101378861
2010-02,12098.100003186302
2010-03,12142.695814341254
2010-04,12265.699401119815
2010-05,12584.590717388555
2010-06,12619.370404499301
2010-07,12630.013056509784
2010-08,13110.906450882765
2010-09,12972.44834248683
2010-10,12801.60406801844
2010-11,12651.33657900736
2010-12,12468.594819484048
2011-01,12329.135181728125
2011-02,12357.885691901192
2011-03,12241.822133652258
2011-04,12391.603712934913
2011-05,12597.9790596412
2011-06,12634.663829999065
2011-07,12956.359113347211
2011-08,13324.024668291782
2011-09,13641.252148753412
2011-10,13419.473871661081
2011-11,13238.309866553487
2011-12,13658.145774527015
2012-01,13782.434248655245
2012-02,13846.267337450376
2012-03,13882.720726017245
2012-04,14020.28788860184
2012-05,14497.53239260934
2012-06,14162.158876920908
2012-07,14584.869238307421
2012-08,14534.073065720559
2012-09,14552.47876829105
2012-10,14589.808792006206
2012-11,14774.220629060072
2012-12,14879.31871489299
2013-01,14621.19094342352
2013-02,14811.885410371708
2013-03,14997.700368884865
2013-04,15336.559492670378
2013-05,15069.373987386485
2013-06,14791.428868719395
2013-07,14913.826689390415
2013-08,14794.286349409374
2013-09,14968.192097173665
2013-10,15208.974152728546
2013-11,15223.241803302148
2013-12,15036.310520185694
2014-01,15485.71681460245
2014-02,15597.940040388357
2014-03,15748.869133720707
2014-04,15923.427611336661
2014-05,16141.674453688283
2014-06,16336.57855599505
2014-07,16476.416795749592
2014-08,16828.62796356248
2014-09,16864.32416353938
2014-10,16935.029658433148
2014-11,17209.97141987183
2014-12,17431.11199484497
2015-01,17713.673048134602
2015-02,17851.53180258633
2015-03,17972.545246233814
2015-04,17744.14441151737
2015-05,17471.547381215285
2015-06,17044.34935761154
2015-07,17471.43369020349
2015-08,17276.34124780344
2015-09,17567.791320394936
2015-10,17782.83885996453
2015-11,17945.867770760146
2015-12,17718.68205672841
2016-01,18119.476140698003
2016-02,18286.061047788528
2016-03,18377.807386453944
2016-04,18169.619989694467
2016-05,18369.034215734773
2016-06,18710.915950034556
2016-07,18873.18346215564
2016-08,18852.63495710942
2016-09,18930.06230154832
2016-10,18520.61371201304
2016-11,18194.38780680904
2016-12,18371.594040066422
2017-01,17975.56114373575
2017-02,18201.029433247582
2017-03,18109.897144279188
2017-04,18228.021569072647
2017-05,18379.423507026604
2017-06,18269.13643187961
2017-07,18319.322027393788
2017-08,18497.296650495162
2017-09,18406.798526586423
2017-10,18659.468168325435
2017-11,18711.895097213648
2017-12,18550.76712474835
2018-01,18388.630362496468
2018-02,18427.51181400842
2018-03,18795.664898541527
2018-04,18712.237917205006
2018-05,18484.942401193333
2018-06,18651.17074979549
2018-07,18575.377991540485
2018-08,18498.15035789875
2018-09,18432.035391167694
2018-10,18439.407270401414
2018-11,18595.296381571363
2018-12,18759.63549629499
2019-01,19013.195383568585
2019-02,18964.26180669701
2019-03,19340.77867467719
2019-04,19337.366258876977
2019-05,19568.87206754874
2019-06,19956.562755708215
2019-07,20285.399611316636
2019-08,20691.908936331543
2019-09,20605.424792299586
2019-10,20382.71895490263
2019-11,20173.359984758798
2019-12,19988.664086230776
2020-01,20474.60532230895
2020-02,20527.303213191677
2020-03,20058.697934355452
2020-04,20074.5436155883
2020-05,20142.68774879978
2020-06,20347.536340765808
2020-07,20526.53320510859
2020-08,20364.46004155363
2020-09,20614.034938812452
2020-10,20800.694978672454
2020-11,20812.048812349083
2020-12,20847.014548337385
2021-01,20744.578234026463
2021-02,20378.738904659218
2021-03,20484.738381980755
2021-04,20273.330246590336
2021-05,20266.15411574509
2021-06,20363.16713046648
2021-07,20730.640124555077
2021-08,20604.559233149837
2021-09,20334.818970067096
2021-10,20030.424607008343
2021-11,20455.894885231362
2021-12,20153.379414389357
2022-01,19891.269000511267
2022-02,19476.814279446236
2022-03,18929.42953019361
2022-04,18196.918496384063
2022-05,17897.12726440846
2022-06,17565.562435154545
2022-07,18380.383230521536
2022-08,17299.707308405894
2022-09,16508.875763323136
2022-10,16612.047588285765
2022-11,16966.56867990897
2022-12,16101.840708472422
2023-01,16604.601267413353
2023-02,16197.843901964941
2023-03,16671.2465430868
2023-04,16660.360610438467
2023-05,16772.801818954158
2023-06,16674.804880812106
2023-07,16665.287473256503
2023-08,16732.417020575955
2023-09,16217.964480118238
2023-10,16320.598292546523
