Date,Invesco Physical Gold A
1978-11,10000
1978-12,10000
1979-01,10484.354545863225
1979-02,11327.932918680537
1979-03,10819.532466222367
1979-04,11176.790942769334
1979-05,12649.78520170167
1979-06,12634.001683664897
1979-07,13012.979226888338
1979-08,13873.340950302732
1979-09,17301.234179895302
1979-10,16708.23494468716
1979-11,18106.82653777112
1979-12,22315.60394113025
1980-01,27535.45984192251
1980-02,27109.709071635745
1980-03,22161.4011727572
1980-04,23492.653943417346
1980-05,23234.448730418073
1980-06,27939.4857962966
1980-07,25935.97293919462
1980-08,27183.316103098074
1980-09,28644.423156338384
1980-10,27702.773566143806
1980-11,28252.316670126012
1980-12,27720.54897911604
1981-01,23888.70909392843
1981-02,24633.92315298886
1981-03,25897.5859373402
1981-04,24980.835985336533
1981-05,26314.156348285458
1981-06,24285.24903700913
1981-07,23849.798449295584
1981-08,25642.91559360034
1981-09,24694.19680844759
1981-10,23864.537735660804
1981-11,22916.80300685488
1981-12,22419.000264307713
1982-01,22021.495065412742
1982-02,21320.2247579809
1982-03,19158.424671478846
1982-04,21961.888130203533
1982-05,19097.773472164765
1982-06,19724.7506492091
1982-07,21759.647959892056
1982-08,26272.777007605757
1982-09,25583.98276433247
1982-10,27598.468255195654
1982-11,28905.57716537952
1982-12,28478.084406738948
1983-01,31527.55146471261
1983-02,26256.144563789203
1983-03,26791.548510868088
1983-04,28127.07785935402
1983-05,28845.68469397959
1983-06,28267.669453119524
1983-07,29063.532884798766
1983-08,29453.994359375323
1983-09,28813.63951076741
1983-10,26728.79544634112
1983-11,29094.80475366779
1983-12,28100.088763680476
1984-01,28145.88046444936
1984-02,28778.058934538305
1984-03,27346.902843702905
1984-04,26919.559060485928
1984-05,28545.354359831188
1984-06,27707.069102340978
1984-07,26385.556305426206
1984-08,27141.741806982
1984-09,28056.33050457892
1984-10,27714.0150105196
1984-11,26624.358480259496
1984-12,25935.08036380556
1985-01,26425.639649348926
1985-02,25721.238608699485
1985-03,29497.986915587626
1985-04,26798.584423474924
1985-05,26368.390547491683
1985-06,26218.283371792655
1985-07,25704.79537671428
1985-08,25258.379962437364
1985-09,25090.037053588494
1985-10,23501.287247768334
1985-11,23061.063051595986
1985-12,22634.979627975667
1986-01,23761.309282687154
1986-02,22022.32370087886
1986-03,21785.83888731319
1986-04,22012.176228125125
1986-05,21469.737601090972
1986-06,21779.901972455704
1986-07,21797.77072483068
1986-08,22753.350383438905
1986-09,24835.998013585297
1986-10,23272.795572129704
1986-11,22837.96771072762
1986-12,22595.139395197948
1987-01,21761.869008886373
1987-02,21664.19163163957
1987-03,22436.989068642226
1987-04,23841.8335868448
1987-05,23437.0671439417
1987-06,23662.336043449563
1987-07,24821.038829190016
1987-08,24522.19415691421
1987-09,24204.96926940751
1987-10,24516.8308783385
1987-11,24200.59168969692
1987-12,23179.783773363717
1988-01,22051.349822571778
1988-02,21110.89503673608
1988-03,22329.913238083554
1988-04,21810.086828848485
1988-05,22343.369387042214
1988-06,22208.915342547127
1988-07,23340.84166755503
1988-08,23368.977051086567
1988-09,21514.205670318148
1988-10,21811.63645426958
1988-11,21464.83707036655
1988-12,20853.191891895174
1989-01,20824.806827018994
1989-02,20707.244131417832
1989-03,20639.432020690852
1989-04,20446.485211616564
1989-05,20433.54869639406
1989-06,21444.4019001308
1989-07,20249.242561858162
1989-08,20086.39644954561
1989-09,20772.608601267068
1989-10,20468.97229776876
1989-11,21940.280993922308
1989-12,20667.1163885114
1990-01,20762.843772048964
1990-02,20123.559494941277
1990-03,18505.704404388493
1990-04,18230.161690255318
1990-05,17701.94116317813
1990-06,17287.529439753922
1990-07,17721.0041330205
1990-08,17642.762891323528
1990-09,18611.58441641647
1990-10,16785.977696524318
1990-11,16684.368623564205
1990-12,17149.821495090306
1991-01,16091.521695762904
1991-02,15679.682441408213
1991-03,16733.279580517454
1991-04,17727.714656637043
1991-05,18096.21505285858
1991-06,19183.473911101722
1991-07,18919.73893877737
1991-08,17713.71666111539
1991-09,17595.100132728676
1991-10,17696.3726837331
1991-11,17454.48021996813
1991-12,16303.299509181594
1992-01,16449.06381093343
1992-02,16763.131649656912
1992-03,16653.90648037882
1992-04,16243.650038435228
1992-05,15986.023998161627
1992-06,15798.407925326468
1992-07,15678.453039457738
1992-08,14519.205036955615
1992-09,15246.38039478286
1992-10,15435.40541834462
1992-11,16200.257431529628
1992-12,16125.185561469812
1993-01,16317.510366173341
1993-02,16578.199745365462
1993-03,17176.86452500482
1993-04,17401.172991866297
1993-05,18582.1366818907
1993-06,19173.22613961463
1993-07,21214.99467493419
1993-08,19768.037331913914
1993-09,18160.150915108767
1993-10,19100.254265313964
1993-11,19680.304550911867
1993-12,20717.1078274434
1994-01,20310.62071521759
1994-02,20425.88328499689
1994-03,20402.612593007398
1994-04,19789.408560388685
1994-05,19935.64818008827
1994-06,19642.825320293345
1994-07,18827.08121786699
1994-08,18932.72725102377
1994-09,19169.795052932135
1994-10,18277.67903415216
1994-11,18511.39473149054
1994-12,18858.552237281616
1995-01,18104.190644886545
1995-02,17975.85514607998
1995-03,17991.628968205263
1995-04,17544.316602478844
1995-05,17564.51257277601
1995-06,17540.8481967102
1995-07,17169.535311759362
1995-08,17641.52105218271
1995-09,17943.196740359766
1995-10,17600.17044467486
1995-11,17873.83290286259
1995-12,18103.609807486344
1996-01,19214.783074849183
1996-02,19089.77984427362
1996-03,18870.938963143668
1996-04,18787.46303606513
1996-05,18977.040721334426
1996-06,18415.747359690362
1996-07,18290.751764080454
1996-08,18177.19917062322
1996-09,17979.47069589778
1996-10,18057.396548563956
1996-11,17438.665259389953
1996-12,17738.877308824784
1997-01,17033.75394016284
1997-02,18448.173626324642
1997-03,18116.627616266323
1997-04,17794.819950026038
1997-05,18022.79714207247
1997-06,17640.756408371104
1997-07,17685.40060257122
1997-08,18132.341396890468
1997-09,18021.29236130776
1997-10,16589.49717928875
1997-11,15484.638504839266
1997-12,15493.67364373001
1998-01,16706.219398279685
1998-02,16260.369586196512
1998-03,16516.228780542937
1998-04,16931.371741719056
1998-05,15754.14237089374
1998-06,16012.90626437083
1998-07,15645.616109381632
1998-08,14746.81015054386
1998-09,15108.947961244017
1998-10,14472.53716107165
1998-11,15012.13422099401
1998-12,14547.89806543769
1999-01,14914.690175790845
1999-02,15497.731914796525
1999-03,15473.50970104971
1999-04,16085.010211877181
1999-05,15276.46246556124
1999-06,15026.661124657541
1999-07,14210.61793361523
1999-08,14326.839971009176
1999-09,16665.648352150325
1999-10,17007.668956450816
1999-11,17149.399960388942
1999-12,17169.669739684123
2000-01,17193.29216915238
2000-02,17960.972758531658
2000-03,17210.77709232669
2000-04,17984.47591356998
2000-05,17382.450651718227
2000-06,17908.799301982275
2000-07,17780.948481920976
2000-08,18468.665483659755
2000-09,18536.96806127159
