Date,iShares Core MSCI Emerging Markets IMI UCITS ETF (Acc)
1994-04,10000
1994-05,10000
1994-06,9714.080886856183
1994-07,9944.322911137486
1994-08,11355.854797305032
1994-09,11441.908372827062
1994-10,11180.866697657544
1994-11,10688.487225656845
1994-12,10468.079346184002
1995-01,9376.910450760291
1995-02,9276.296136384313
1995-03,8941.991483651964
1995-04,8970.242389160518
1995-05,9659.590606144013
1995-06,9547.911920772849
1995-07,9609.735764701085
1995-08,9629.96892555579
1995-09,9699.051236206358
1995-10,9258.687231367612
1995-11,9017.063245953255
1995-12,9571.147222204912
1996-01,10442.25682608142
1996-02,10354.492237321432
1996-03,10353.823876034183
1996-04,10803.796932349174
1996-05,10787.135440377508
1996-06,10737.337376712769
1996-07,9851.925033231673
1996-08,10006.250590732796
1996-09,10163.495801088158
1996-10,9907.813271478406
1996-11,9913.570698822332
1996-12,10135.69042739012
1997-01,11110.861132837694
1997-02,12149.49010014556
1997-03,11981.254085193645
1997-04,11820.709393697185
1997-05,11951.9398495942
1997-06,12684.866910691017
1997-07,13158.998051913883
1997-08,11796.616596689937
1997-09,11620.164942591364
1997-10,9478.161384725816
1997-11,8811.105153256683
1997-12,9087.342204807708
1998-01,8642.217116553562
1998-02,9536.82926081394
1998-03,9896.709742837465
1998-04,9763.451207988155
1998-05,8343.63906244685
1998-06,7444.291032062952
1998-07,7598.289949233115
1998-08,5444.546635419839
1998-09,5369.26606785273
1998-10,5683.748768167789
1998-11,6273.4357576292405
1998-12,6042.7879386643035
1999-01,5926.26285608092
1999-02,6201.854074610459
1999-03,7216.822767616226
1999-04,8236.583557359681
1999-05,8260.86640286155
1999-06,9222.226196248115
1999-07,8693.728052106351
1999-08,8743.152323659211
1999-09,8319.538165626216
1999-10,8679.224223811374
1999-11,9874.836848110835
1999-12,11499.831005615708
2000-01,11850.122795141815
2000-02,11918.07853456056
2000-03,12113.972022290565
2000-04,11393.346261968209
2000-05,10530.814460575459
2000-06,10578.66724680495
2000-07,10402.023759442643
2000-08,10906.458240486589
2000-09,9979.595561749078
2000-10,9557.203210354855
2000-11,8499.2279423321
2000-12,8027.986837113814
2001-01,9128.032315975206
2001-02,8489.203324742462
2001-03,8055.890846620718
2001-04,8347.44303334694
2001-05,8831.602988341587
2001-06,8672.590416365621
2001-07,7859.075276237661
2001-08,7432.783693377406
2001-09,6307.038583575783
2001-10,6716.902325641204
2001-11,7581.111253490255
2001-12,8307.525244258839
2002-01,8757.16320722786
2002-02,8868.77026131328
2002-03,9367.02432556084
2002-04,9132.389501665044
2002-05,8578.027726109078
2002-06,7458.81243807975
2002-07,7059.579742005005
2002-08,7128.295534464853
2002-09,6337.952086898277
2002-10,6723.956278228788
2002-11,7127.24858074159
2002-12,6527.069807912271
2003-01,6333.036415460861
2003-02,6173.221361132682
2003-03,5909.464636144808
2003-04,6271.303547311697
2003-05,6335.257975560271
2003-06,6942.98098183934
2003-07,7427.753281993713
2003-08,8199.677586600827
2003-09,7725.289552905516
2003-10,8368.512609728117
2003-11,8238.598342488092
2003-12,8353.956846044213
2004-01,8837.246528452966
2004-02,9244.069120190386
2004-03,9514.840237718892
2004-04,8975.533662611553
2004-05,8613.395096887323
2004-06,8665.126021225107
2004-07,8557.55105014125
2004-08,8866.491671118305
2004-09,9151.28600736866
2004-10,9143.649273773624
2004-11,9568.978429299517
2004-12,9821.738261421053
2005-01,10288.837540104521
2005-02,11000.177354979945
2005-03,10530.229612121972
2005-04,10247.463740039799
2005-05,11138.831630653587
2005-06,11759.543160311227
2005-07,12555.896540315765
2005-08,12525.778424766751
2005-09,13794.783961258612
2005-10,12919.974037601098
2005-11,14299.340849628836
2005-12,15166.704822319856
2006-01,16334.791042487142
2006-02,16660.14223454856
2006-03,16474.985907063878
2006-04,17059.436907374216
2006-05,14957.086157824726
2006-06,14984.775594073782
