Date,MSCI WORLD
1972-01,112.800003
1972-02,116.900002
1972-03,118.300003
1972-04,119.699997
1972-05,121.900002
1972-06,118.800003
1972-07,120.5
1972-08,123.699997
1972-09,121.599998
1972-10,122.400002
1972-11,128.600006
1972-12,130.699997
1973-01,130.800003
1973-02,131.5
1973-03,131.5
1973-04,124.599998
1973-05,124.099998
1973-06,124.599998
1973-07,127.400002
1973-08,121.800003
1973-09,125.099998
1973-10,126.099998
1973-11,109.599998
1973-12,108.400002
1974-01,109
1974-02,110.5
1974-03,107.400002
1974-04,105.400002
1974-05,100.900002
1974-06,97.5
1974-07,91.5
1974-08,82.400002
1974-09,74.5
1974-10,81.300003
1974-11,79.800003
1974-12,78.199997
1975-01,89.400002
1975-02,97.099998
1975-03,97.5
1975-04,101.300003
1975-05,103.5
1975-06,104.5
1975-07,98.5
1975-08,96.699997
1975-09,92.400002
1975-10,98.599998
1975-11,101
1975-12,100.900002
1976-01,109.599998
1976-02,108.599998
1976-03,109.599998
1976-04,108.599998
1976-05,106.5
1976-06,109.599998
1976-07,108.300003
1976-08,107.800003
1976-09,108.400002
1976-10,104.400002
1976-11,103.699997
1976-12,111.300003
1977-01,107.300003
1977-02,106.5
1977-03,105.599998
1977-04,106.5
1977-05,104.699997
1977-06,108.400002
1977-07,106.699997
1977-08,106.800003
1977-09,107.800003
1977-10,105.699997
1977-11,106.699997
1977-12,108.5
1978-01,105
1978-02,103.900002
1978-03,108.300003
1978-04,112.800003
1978-05,113.900002
1978-06,114.699997
1978-07,122.699997
1978-08,125.199997
1978-09,126.300003
1978-10,123.5
1978-11,118.800003
1978-12,122.300003
1979-01,125.099998
1979-02,122.400002
1979-03,127.099998
1979-04,126.5
1979-05,124
1979-06,127.199997
1979-07,127.800003
1979-08,132.5
1979-09,135.100006
1979-10,124.599998
1979-11,128.100006
1979-12,131.100006
1980-01,138.600006
1980-02,138.300003
1980-03,123
1980-04,130.600006
1980-05,136.600006
1980-06,142.699997
1980-07,146.600006
1980-08,149.100006
1980-09,153.100006
1980-10,157.100006
1980-11,163.199997
1980-12,159.199997
1981-01,154.199997
1981-02,154.199997
1981-03,159.199997
1981-04,158.800003
1981-05,155.300003
1981-06,154.600006
1981-07,151.5
1981-08,148.100006
1981-09,136.5
1981-10,140.300003
1981-11,150.300003
1981-12,146.600006
1982-01,144
1982-02,134.899994
1982-03,130.800003
1982-04,136.699997
1982-05,132.800003
1982-06,126.400002
1982-07,124.300003
1982-08,132.899994
1982-09,133.100006
1982-10,141.800003
1982-11,148.899994
1982-12,155.199997
1983-01,158
1983-02,160.899994
