DATE,TBILLS_3MONTHS
1954-01,1.02
1954-02,1
1954-03,1.03
1954-04,0.81
1954-05,0.81
1954-06,0.64
1954-07,0.79
1954-08,1.05
1954-09,0.99
1954-10,1
1954-11,1.01
1954-12,1.02
1955-01,1.12
1955-02,1.37
1955-03,1.41
1955-04,1.59
1955-05,1.39
1955-06,1.47
1955-07,1.75
1955-08,2.09
1955-09,2.15
1955-10,2.15
1955-11,2.44
1955-12,2.5
1956-01,2.32
1956-02,2.3
1956-03,2.3
1956-04,2.69
1956-05,2.57
1956-06,2.42
1956-07,2.3
1956-08,2.66
1956-09,2.91
1956-10,2.86
1956-11,3.04
1956-12,3.22
1957-01,3.12
1957-02,3.28
1957-03,2.96
1957-04,3.01
1957-05,3.31
1957-06,3.22
1957-07,3.38
1957-08,3.5
1957-09,3.46
1957-10,3.6
1957-11,3.14
1957-12,2.75
1958-01,1.55
1958-02,1.27
1958-03,1.1
1958-04,1.2
1958-05,1.2
1958-06,0.75
1958-07,0.91
1958-08,2.33
1958-09,2.7
1958-10,2.55
1958-11,2.78
1958-12,2.68
1959-01,2.64
1959-02,2.76
1959-03,2.78
1959-04,2.85
1959-05,3.08
1959-06,3.14
1959-07,3
1959-08,3.88
1959-09,4.1
1959-10,4
1959-11,4.44
1959-12,4.4
1960-01,3.99
1960-02,4.19
1960-03,3.02
1960-04,3.04
1960-05,3.12
1960-06,2.19
1960-07,2.19
1960-08,2.57
1960-09,2.3
1960-10,2.12
1960-11,2.4
1960-12,2.2
1961-01,2.28
1961-02,2.58
1961-03,2.58
1961-04,2.27
1961-05,2.34
1961-06,2.27
1961-07,2.26
1961-08,2.35
1961-09,2.23
1961-10,2.28
1961-11,2.55
1961-12,2.67
1962-01,2.73
1962-02,2.71
1962-03,2.75
1962-04,2.74
1962-05,2.7
1962-06,2.9
1962-07,2.86
1962-08,2.81
1962-09,2.74
1962-10,2.72
1962-11,2.86
1962-12,2.92
1963-01,2.93
1963-02,2.9
1963-03,2.91
1963-04,2.9
1963-05,3
1963-06,2.99
1963-07,3.27
1963-08,3.39
1963-09,3.37
1963-10,3.48
1963-11,3.5
1963-12,3.51
1964-01,3.5
1964-02,3.6
1964-03,3.51
1964-04,3.45
1964-05,3.45
1964-06,3.47
1964-07,3.47
1964-08,3.5
1964-09,3.55
1964-10,3.55
1964-11,3.84
1964-12,3.82
1965-01,3.87
1965-02,3.99
1965-03,3.93
1965-04,3.91
1965-05,3.91
1965-06,3.81
1965-07,3.81
1965-08,3.9
1965-09,4.02
1965-10,4.06
1965-11,4.13
1965-12,4.49
1966-01,4.63
1966-02,4.64
1966-03,4.52
1966-04,4.65
1966-05,4.64
1966-06,4.58
1966-07,4.77
1966-08,5.06
1966-09,5.34
1966-10,5.22
1966-11,5.16
1966-12,4.81
1967-01,4.51
1967-02,4.54
1967-03,4.01
1967-04,3.73
1967-05,3.46
1967-06,4
1967-07,4.12
1967-08,4.38
1967-09,4.39
1967-10,4.56
1967-11,4.95
1967-12,5.04
1968-01,4.88
1968-02,5.02
1968-03,5.17
1968-04,5.51
1968-05,5.68
1968-06,5.3
1968-07,5.17
1968-08,5.18
1968-09,5.16
1968-10,5.48
1968-11,5.52
1968-12,6.25
1969-01,6.19
1969-02,6.19
1969-03,6.19
1969-04,5.87
1969-05,5.87
1969-06,6.29
1969-07,7.06
1969-08,6.95
1969-09,7.14
1969-10,6.99
1969-11,7.51
1969-12,8.01
1970-01,7.86
1970-02,6.85
1970-03,6.38
1970-04,6.93
1970-05,6.93
1970-06,6.49
1970-07,6.38
1970-08,6.33
1970-09,5.84
1970-10,5.84
1970-11,5.04
1970-12,4.85
1971-01,4.15
1971-02,3.4
1971-03,3.64
1971-04,3.93
1971-05,3.93
1971-06,5.22
1971-07,5.31
1971-08,4.44
1971-09,4.6
1971-10,4.31
1971-11,4.34
1971-12,3.68
1972-01,3.35
1972-02,3.46
1972-03,3.46
1972-04,3.63
1972-05,3.81
1972-06,4.06
1972-07,3.8
1972-08,4.55
1972-09,4.55
1972-10,4.76
1972-11,4.88
1972-12,5.14
1973-01,5.68
1973-02,5.85
1973-03,6.4
1973-04,6.23
1973-05,6.92
1973-06,7.52
1973-07,8.32
1973-08,8.66
1973-09,6.98
1973-10,7.36
1973-11,7.3
1973-12,7.46
1974-01,7.48
1974-02,7.46
1974-03,8.28
1974-04,8.9
1974-05,8.08
1974-06,7.34
1974-07,7.67
1974-08,8.93
1974-09,6.12
1974-10,7.8
1974-11,7.47
1974-12,7.06
1975-01,5.68
1975-02,5.4
1975-03,5.53
1975-04,5.5
1975-05,5.2
1975-06,5.86
1975-07,6.25
1975-08,6.36
1975-09,6.58
1975-10,5.51
1975-11,5.54
1975-12,5.2
1976-01,4.73
1976-02,5
1976-03,4.97
1976-04,4.91
1976-05,4.91
1976-06,5.37
1976-07,5.17
1976-08,5.09
1976-09,5.06
1976-10,4.89
1976-11,4.42
1976-12,4.34
1977-01,4.72
1977-02,4.7
1977-03,4.54
1977-04,4.69
1977-05,5.03
1977-06,4.98
1977-07,5.4
1977-08,5.56
1977-09,5.89
1977-10,6.18
1977-11,6.04
1977-12,6.13
1978-01,6.42
1978-02,6.42
1978-03,6.47
1978-04,6.35
1978-05,6.65
1978-06,7.01
1978-07,6.76
1978-08,7.54
1978-09,7.98
1978-10,8.75
1978-11,9.01
1978-12,9.26
1979-01,9.29
1979-02,9.45
1979-03,9.44
1979-04,9.56
1979-05,9.57
1979-06,8.95
1979-07,9.18
1979-08,9.81
1979-09,10.12
1979-10,12.12
1979-11,11.49
1979-12,12.04
1980-01,12
1980-02,14.01
1980-03,14.24
1980-04,10.39
1980-05,7.75
1980-06,7.88
1980-07,8.62
1980-08,9.96
1980-09,11.44
1980-10,12.71
1980-11,14.48
1980-12,14.3
1981-01,14.59
1981-02,14.22
1981-03,12.46
1981-04,14.86
1981-05,15.1
1981-06,14.28
1981-07,14.87
1981-08,15.52
1981-09,14.34
1981-10,12.75
1981-11,10.37
1981-12,11.08
1982-01,12.52
1982-02,12.44
1982-03,13.26
1982-04,12.34
1982-05,12.34
1982-06,12.76
1982-07,10.17
1982-08,8.42
1982-09,7.62
1982-10,7.9
1982-11,8.28
1982-12,7.92
1983-01,8.1
1983-02,7.93
1983-03,8.64
1983-04,8.08
1983-05,8.63
1983-06,8.79
1983-07,9.22
1983-08,9.26
1983-09,8.71
1983-10,8.51
1983-11,8.88
1983-12,8.97
1984-01,8.89
1984-02,9.14
1984-03,9.72
1984-04,9.72
1984-05,9.75
1984-06,9.92
1984-07,10.4
1984-08,10.63
1984-09,10.22
1984-10,9.01
1984-11,8.44
1984-12,7.85
1985-01,8.05
1985-02,8.5
1985-03,8.18
1985-04,7.85
1985-05,7.14
1985-06,6.83
1985-07,7.28
1985-08,7.14
1985-09,7.04
1985-10,7.19
1985-11,7.16
1985-12,7.05
1986-01,6.97
1986-02,7.02
1986-03,6.34
1986-04,6.1
1986-05,6.3
1986-06,5.96
1986-07,5.79
1986-08,5.17
1986-09,5.2
1986-10,5.2
1986-11,5.39
1986-12,5.67
1987-01,5.6
1987-02,5.45
1987-03,5.61
1987-04,5.53
1987-05,5.68
1987-06,5.73
1987-07,6.07
1987-08,6.25
1987-09,6.61
1987-10,5.27
1987-11,5.21
1987-12,5.68
1988-01,5.64
1988-02,5.62
1988-03,5.71
1988-04,5.98
1988-05,6.43
1988-06,6.56
1988-07,6.95
1988-08,7.3
1988-09,7.25
1988-10,7.36
1988-11,7.83
1988-12,8.1
1989-01,8.39
1989-02,8.71
1989-03,8.9
1989-04,8.41
1989-05,8.61
1989-06,7.99
1989-07,7.8
1989-08,7.89
1989-09,7.91
1989-10,7.77
