Date,iShares Core MSCI World UCITS ETF USD (Acc)
1978-11,10000
1978-12,10000
1979-01,10397.264238583844
1979-02,10245.473527212827
1979-03,10670.002780350265
1979-04,10771.45121679093
1979-05,10700.0788908556
1979-06,10879.111616042674
1979-07,10566.349983772221
1979-08,11021.993395011323
1979-09,11145.84393342313
1979-10,10358.937868069663
1979-11,10632.312756970634
1979-12,10669.643415469875
1980-01,11198.5540415861
1980-02,11305.7852995808
1980-03,10622.463032847621
1980-04,11451.216156474145
1980-05,11492.259555321893
1980-06,11864.150320975676
1980-07,12074.50411952528
1980-08,12552.151737813334
1980-09,12895.815691173122
1980-10,13602.68938971133
1980-11,14665.383902940459
1980-12,14794.410752509479
1981-01,14403.8661220666
1981-02,15426.470468612128
1981-03,15982.10210748322
1981-04,16411.088696294697
1981-05,17069.884642190318
1981-06,17689.064022749382
1981-07,17916.076166342526
1981-08,18035.666742988844
1981-09,15918.582366349736
1981-10,15916.635160521519
1981-11,16912.26621913063
1981-12,16776.845307912372
1982-01,16778.717790782546
1982-02,16283.659128333069
1982-03,16124.006578273467
1982-04,17172.32245775205
1982-05,16163.558499354744
1982-06,16324.85839611829
1982-07,16456.06640933328
1982-08,17753.215647761353
1982-09,17997.730692677946
1982-10,19456.999089154942
1982-11,20825.119668004612
1982-12,20858.637592592175
1983-01,21147.851912878272
1983-02,21982.319292339464
1983-03,22864.414589660548
1983-04,24843.414868747604
1983-05,24746.88240637034
1983-06,26299.40568839479
1983-07,26173.836520054356
1983-08,27160.752986551306
1983-09,27721.179008508567
1983-10,26936.9438353937
1983-11,28364.201599168802
1983-12,29447.533162765263
1984-01,30350.135592382732
1984-02,28925.921873209205
1984-03,29200.397984552943
1984-04,29600.831684068038
1984-05,28390.277176862644
1984-06,28622.560244793603
1984-07,28650.27305569554
1984-08,31872.40279537828
1984-09,33243.26127189348
1984-10,34200.03547509701
1984-11,33171.30474328536
1984-12,35191.72316194176
1985-01,38029.00109781414
1985-02,39511.58021392846
1985-03,40963.26197698709
1985-04,38012.66169943743
1985-05,40233.05829559054
1985-06,40224.68496067132
1985-07,39039.96439121696
1985-08,37997.046217346266
1985-09,38889.02060268137
1985-10,38451.871661572586
1985-11,39804.162304596546
1985-12,40672.80487949236
1986-01,40410.56510016991
1986-02,42306.883107545495
1986-03,45148.82707717282
1986-04,46620.82567723978
1986-05,45663.11256920293
1986-06,47673.384659709176
1986-07,46634.55307022164
1986-08,49175.09866742748
1986-09,46838.015533970705
1986-10,45509.17993405879
1986-11,47907.64486901641
1986-12,48154.48598822745
1987-01,50569.59470217815
1987-02,51301.60722358118
1987-03,54375.710413870904
1987-04,56800.00534683079
1987-05,56175.998015160076
1987-06,57135.25374736035
1987-07,59104.27686006582
1987-08,63068.370942323854
1987-09,60338.653511692595
1987-10,49713.56310344491
1987-11,45557.405244665344
1987-12,46071.37247825062
1988-01,47675.630536325225
1988-02,51883.851607048295
1988-03,52708.55674463592
1988-04,53036.55462823834
1988-05,52469.77560781517
1988-06,54324.64484243664
1988-07,58114.81813056139
1988-08,56131.7668091114
1988-09,58066.45464980817
1988-10,60377.667609041615
1988-11,59982.8138204364
1988-12,60565.90302063609
1989-01,65221.04460902444
1989-02,65589.75849676365
1989-03,65578.43333152706
1989-04,67437.6381022009
1989-05,68582.10495798169
1989-06,69002.51472239288
1989-07,73423.1087280308
1989-08,72725.83980577605
1989-09,75896.52322869253
1989-10,70574.06749015235
1989-11,72311.97671154921
1989-12,71536.64969390957
1990-01,66169.88103020181
1990-02,62466.8922483064
1990-03,59695.312815591795
1990-04,58054.607228261906
1990-05,63093.97275889993
1990-06,63039.84124640932
1990-07,61665.89468762723
1990-08,53406.98637516334
1990-09,47828.092081961426
1990-10,50734.95993664292
1990-11,48889.06873072536
1990-12,50477.16294419005
1991-01,52427.04836624074
1991-02,56301.48698513768
1991-03,59447.184028453274
1991-04,63076.474908943776
1991-05,65338.659234792525
1991-06,63560.406274982386
1991-07,66617.84094191498
1991-08,64913.90748901576
1991-09,64747.90290304885
1991-10,65680.52873590955
1991-11,60438.76928648338
1991-12,62750.651111876665
1992-01,61993.81441082432
1992-02,62240.010461060345
1992-03,60863.58849984041
1992-04,61125.64829598069
1992-05,62312.92748725297
1992-06,58472.84361699263
1992-07,55805.5065158559
1992-08,55693.973729894446
1992-09,56430.665800750096
1992-10,57157.66955977885
1992-11,61963.10384107495
1992-12,62393.68117294086
1993-01,63795.52604446451
1993-02,66903.72178858664
1993-03,71100.13316967171
1993-04,71833.27347529113
1993-05,73638.90594801534
1993-06,75120.33761826433
1993-07,79886.78041865957
1993-08,84153.88381959009
1993-09,79281.7623760231
1993-10,82390.33919193156
1993-11,79783.66761587482
1993-12,83617.79034824712
1994-01,90307.74294206916
1994-02,88761.2737320702
1994-03,83144.35156863868
1994-04,85929.70064918356
1994-05,84265.81653777523
1994-06,82634.29005235946
1994-07,81577.97523359089
1994-08,84099.05121317682
1994-09,80979.43829512039
1994-10,81659.52492410633
1994-11,79247.52009546547
1994-12,81619.21153924988
1995-01,78718.2067276336
1995-02,78959.57007776188
1995-03,79517.74682984756
1995-04,80683.30015031277
1995-05,82598.76787675501
1995-06,81852.24689640042
1995-07,84917.07146918621
1995-08,85506.04548165205
1995-09,89092.4906958511
1995-10,86291.92365134679
1995-11,89447.83827310216
1995-12,93486.92211748209
1996-01,96298.5145210221
1996-02,97405.7506842657
1996-03,98927.04761578921
1996-04,102079.61271683506
1996-05,103369.49893319259
1996-06,103048.72033856735
1996-07,97858.86547413208
1996-08,98049.84163605045
1996-09,102735.08918852573
1996-10,103736.55921110327
1996-11,108106.28986343904
1996-12,108690.57386401453
1997-01,112953.33125808189
1997-02,119189.36506698649
1997-03,118145.52212833714
1997-04,122628.83571454485
1997-05,129756.52860111895
1997-06,137714.54431945467
1997-07,148019.30315251902
1997-08,142008.45559120065
1997-09,145749.54855466736
1997-10,135524.9249172307
1997-11,135039.54356843056
1997-12,140327.48934286652
1998-01,147508.56881301478
1998-02,157091.28692492502
1998-03,164277.7353159288
1998-04,164707.81476414073
1998-05,160114.77428023107
1998-06,165053.91023119184
1998-07,165126.89745682882
1998-08,142471.00648577837
1998-09,138179.5077536203
1998-10,145059.05250819682
1998-11,158085.06817728467
1998-12,164700.27607997815
1999-01,173754.36222371468
1999-02,174696.1104772544
1999-03,186589.9332092895
1999-04,196541.69916700842
1999-05,191853.7903554215
1999-06,203231.55691451408
1999-07,195626.84500321402
1999-08,197454.41720671373
1999-09,193793.48768495157
1999-10,207942.11617288974
1999-11,221267.3448208077
1999-12,240326.76546508985
2000-01,232396.4259346688
2000-02,234803.46915622352
2000-03,255194.74620327013
2000-04,256921.35061249873
2000-05,244476.0788537699
2000-06,245947.27045492054
2000-07,247046.34077179257
2000-08,264661.68487331393
